epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,6374.52,0.25446,0.4802,0.20702,0.80622,0.91018,0.91386,0.92919,0.68692,0.84019,0.83661,0.82846,0.47106,0.92224,1.48382,0.61921,1.35312,3.87899e-05,3.87899e-05,3.87899e-05
73,6554.49,0.25152,0.48136,0.20322,0.80684,0.92662,0.91835,0.93395,0.68733,0.84146,0.83552,0.83252,0.47009,0.91127,1.489,0.62532,1.33629,3.63395e-05,3.63395e-05,3.63395e-05
74,6729.59,0.25039,0.48014,0.20908,0.80469,0.91311,0.88948,0.92759,0.68267,0.85472,0.82559,0.82488,0.47266,0.90341,1.49379,0.61315,1.32483,3.39519e-05,3.39519e-05,3.39519e-05
75,6827.49,0.24403,0.46813,0.20306,0.80895,0.92858,0.91104,0.92696,0.68823,0.87083,0.85367,0.84663,0.47769,0.89608,1.47428,0.6142,1.31686,3.16295e-05,3.16295e-05,3.16295e-05
76,6880.25,0.24488,0.4628,0.20098,0.81222,0.9338,0.91352,0.92728,0.68901,0.86218,0.84059,0.83643,0.48325,0.90602,1.48808,0.60764,1.32372,2.93747e-05,2.93747e-05,2.93747e-05
77,7001.31,0.24095,0.47111,0.20018,0.80542,0.92712,0.92196,0.92804,0.68802,0.86738,0.83919,0.83656,0.47909,0.90707,1.48341,0.59256,1.3338,2.71896e-05,2.71896e-05,2.71896e-05
78,7045.98,0.23761,0.4578,0.1967,0.80747,0.9339,0.91594,0.92982,0.68709,0.85807,0.84616,0.82773,0.47952,0.90705,1.4807,0.59257,1.32751,2.50764e-05,2.50764e-05,2.50764e-05
79,7102.32,0.23217,0.46505,0.1925,0.80604,0.91916,0.91379,0.9296,0.68522,0.85786,0.84343,0.84089,0.48398,0.90838,1.47839,0.60797,1.3376,2.30372e-05,2.30372e-05,2.30372e-05
80,7155.27,0.23038,0.46218,0.19257,0.79865,0.91111,0.91704,0.92467,0.68682,0.86147,0.85311,0.83994,0.47996,0.91861,1.4936,0.59567,1.34915,2.1074e-05,2.1074e-05,2.1074e-05
81,7281.17,0.23239,0.4532,0.19557,0.80595,0.92226,0.91102,0.9274,0.69081,0.86825,0.85818,0.84143,0.48601,0.92824,1.51275,0.5862,1.36637,1.91888e-05,1.91888e-05,1.91888e-05
82,7324.01,0.23307,0.46405,0.19087,0.80344,0.92211,0.91425,0.92964,0.695,0.8523,0.84848,0.8381,0.4816,0.92411,1.50214,0.60358,1.37009,1.73833e-05,1.73833e-05,1.73833e-05
83,7552.58,0.22799,0.45241,0.18848,0.8084,0.92937,0.92167,0.93747,0.69415,0.84771,0.84141,0.82937,0.47776,0.93144,1.5184,0.60532,1.368,1.56594e-05,1.56594e-05,1.56594e-05
84,7646.76,0.22501,0.45781,0.18737,0.80256,0.92976,0.91735,0.93269,0.68942,0.87072,0.84243,0.83885,0.48333,0.9117,1.51715,0.58326,1.35511,1.40188e-05,1.40188e-05,1.40188e-05
85,7699.74,0.22067,0.45406,0.18463,0.80255,0.92371,0.91312,0.93219,0.68816,0.84239,0.83922,0.83429,0.47867,0.9176,1.50981,0.59921,1.35773,1.24631e-05,1.24631e-05,1.24631e-05
86,7752.58,0.22366,0.4524,0.19048,0.80078,0.93183,0.91624,0.9325,0.68989,0.87076,0.82962,0.83938,0.4798,0.90183,1.52794,0.59359,1.35289,1.09939e-05,1.09939e-05,1.09939e-05
87,7808.31,0.21495,0.44845,0.1831,0.80188,0.92401,0.92034,0.93288,0.69401,0.86229,0.82275,0.8311,0.47749,0.91352,1.5206,0.60114,1.35288,9.61254e-06,9.61254e-06,9.61254e-06
88,7998.96,0.21891,0.44948,0.18478,0.80826,0.93114,0.90729,0.93197,0.69346,0.85999,0.82564,0.83154,0.48592,0.91612,1.51966,0.60466,1.35418,8.32043e-06,8.32043e-06,8.32043e-06
89,8119.16,0.21712,0.44902,0.18461,0.8005,0.94289,0.90561,0.93126,0.69292,0.86379,0.83098,0.83391,0.48428,0.91715,1.5149,0.60617,1.35344,7.11884e-06,7.11884e-06,7.11884e-06
90,8186.27,0.21595,0.44473,0.18426,0.79609,0.94066,0.90815,0.93151,0.68843,0.84924,0.84569,0.83583,0.47523,0.91793,1.513,0.60899,1.35569,6.00897e-06,6.00897e-06,6.00897e-06
91,8310.94,0.21638,0.44674,0.18534,0.8058,0.93715,0.90976,0.93138,0.69181,0.86422,0.83085,0.83461,0.47916,0.90992,1.51539,0.61151,1.35213,4.9919e-06,4.9919e-06,4.9919e-06
92,8418.16,0.21745,0.44301,0.18345,0.79934,0.9379,0.9175,0.93294,0.69103,0.87036,0.82713,0.83667,0.48284,0.91127,1.52204,0.60012,1.35131,4.06865e-06,4.06865e-06,4.06865e-06
93,8475.81,0.21604,0.45663,0.18238,0.80244,0.9311,0.91697,0.93079,0.69033,0.86244,0.8299,0.83477,0.48209,0.91279,1.52156,0.59781,1.35053,3.24011e-06,3.24011e-06,3.24011e-06
94,8528.56,0.21384,0.43024,0.18272,0.80093,0.92605,0.91665,0.93177,0.69024,0.86883,0.82608,0.83565,0.48092,0.91402,1.52561,0.59677,1.34984,2.50712e-06,2.50712e-06,2.50712e-06
95,8581.45,0.20835,0.44247,0.17881,0.79959,0.92187,0.92009,0.93133,0.68867,0.86639,0.82465,0.83539,0.48285,0.9134,1.53034,0.60243,1.35097,1.87039e-06,1.87039e-06,1.87039e-06
96,8721.3,0.20929,0.44124,0.17991,0.80133,0.9219,0.92008,0.93146,0.68988,0.86522,0.82307,0.83457,0.48421,0.91571,1.53295,0.6034,1.35563,1.33055e-06,1.33055e-06,1.33055e-06
97,8762.57,0.21053,0.44593,0.18086,0.80177,0.92848,0.92129,0.93256,0.68979,0.84656,0.84605,0.8351,0.48319,0.91698,1.52946,0.60258,1.356,8.88136e-07,8.88136e-07,8.88136e-07
98,8813.38,0.2103,0.44955,0.17925,0.80467,0.93461,0.91712,0.9326,0.68909,0.87094,0.82262,0.83495,0.48103,0.91669,1.53205,0.60804,1.35237,5.43582e-07,5.43582e-07,5.43582e-07
99,8867.98,0.21147,0.44252,0.183,0.80407,0.92399,0.91803,0.93179,0.68889,0.86378,0.82404,0.8344,0.48271,0.91879,1.53194,0.60521,1.3566,2.97228e-07,2.97228e-07,2.97228e-07
100,9005.09,0.21061,0.45208,0.18225,0.79867,0.92763,0.92034,0.93112,0.68567,0.87138,0.82443,0.83433,0.48164,0.91584,1.53241,0.60652,1.35436,1.49319e-07,1.49319e-07,1.49319e-07
