page_index;object_index;class_name;confidence;x1;y1;x2;y2
4;10;seeding;0.784063;1154;233;1274;881
4;10;stem;0.939475;1185;372;1226;620
4;10;flower;0.750223;1197;233;1273;369
4;11;seeding;0.771891;1962;1637;2987;1793
4;11;root;0.858739;2282;1675;2641;1756
4;11;root;0.652519;2128;1675;2643;1757
4;11;root;0.484531;2814;1659;2986;1780
4;12;seeding;0.761270;633;156;800;1295
4;12;flower;0.846843;642;162;771;385
4;12;stem;0.650477;727;375;745;867
4;12;root;0.485132;730;941;767;1285
4;13;seeding;0.750906;459;127;613;1092
4;13;flower;0.952611;459;133;612;304
4;13;stem;0.653091;532;308;554;578
4;13;root;0.390157;534;573;567;1090
4;14;seeding;0.749553;222;171;351;1344
4;14;flower;0.855999;252;171;351;350
4;14;flower;0.491967;250;171;351;351
4;14;stem;0.433002;285;350;311;804
4;15;seeding;0.745713;455;1551;1534;1682
4;15;root;0.258924;718;1585;1144;1658
4;16;seeding;0.732639;2579;281;2714;1302
4;16;flower;0.920561;2626;281;2710;401
4;17;seeding;0.731358;960;197;1151;1196
4;17;root;0.914411;999;849;1088;1184
4;17;stem;0.759741;1028;363;1061;617
4;17;flower;0.734015;1032;210;1105;361
4;18;seeding;0.695455;1251;178;1393;1189
4;18;root;0.929975;1251;715;1347;1187
4;18;stem;0.680188;1307;334;1330;730
4;18;flower;0.354543;1251;181;1372;350
4;19;seeding;0.689625;3058;398;3210;1459
4;19;root;0.676683;3089;429;3204;734
4;20;seeding;0.679449;1380;176;1525;690
4;20;flower;0.909758;1447;433;1524;536
4;20;flower;0.831881;1388;179;1524;452
4;20;stem;0.826638;1421;349;1447;677
4;20;stem;0.798759;1495;534;1519;690
4;20;stem;0.745493;1420;378;1441;673
4;20;stem;0.317066;1420;417;1434;673
4;21;seeding;0.677695;1785;216;1924;1165
4;21;flower;0.915076;1802;216;1924;361
4;21;root;0.663038;1853;777;1896;1142
4;21;stem;0.599713;1863;360;1883;604
4;22;seeding;0.675844;2825;301;2965;1322
4;23;seeding;0.675474;2200;196;2321;1020
4;23;stem;0.820487;2274;354;2304;622
4;23;stem;0.538751;2206;305;2223;598
4;23;flower;0.442649;2201;214;2289;356
